City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Souillac,MU,-20.5167,57.5167,81.36,94,75,11.5,broken clouds
174,Dyshne-Vedeno,RU,42.9643,46.1158,24.93,84,44,4.25,scattered clouds
175,Salvador,SV,13.8333,-88.9167,89.64,27,47,10.51,scattered clouds
176,Bukama,CD,-9.2,25.85,68.77,98,100,2.19,moderate rain
177,Provideniya,RU,64.3833,-173.3,-5.69,65,0,6.71,clear sky
178,Kirakira,SB,-10.4544,161.9205,80.4,85,99,10.69,overcast clouds
179,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,84,14.12,light rain
180,Lakes Entrance,AU,-37.8811,147.981,79.16,58,84,3.51,broken clouds
181,Takoradi,GH,4.8845,-1.7554,78.71,87,61,7.0,light rain
182,Luganville,VU,-15.5333,167.1667,82.29,82,100,11.77,overcast clouds
183,Copiapo,CL,-27.3667,-70.3333,71.29,39,20,8.08,few clouds
184,Cap Malheureux,MU,-19.9842,57.6142,81.46,77,91,5.01,overcast clouds
185,Pevek,RU,69.7008,170.3133,-17.21,98,100,9.44,overcast clouds
186,Constitucion,CL,-35.3333,-72.4167,65.46,76,57,7.25,broken clouds
187,Indiaroba,BR,-11.5192,-37.5117,80.02,81,100,7.99,overcast clouds
188,Dingle,PH,10.9995,122.6711,73.98,94,96,6.51,overcast clouds
189,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,75,11.5,broken clouds
190,Luchegorsk,RU,46.4764,134.2569,-10.62,100,88,0.81,overcast clouds
191,Santa Maria,BR,-29.6842,-53.8069,78.4,26,0,4.97,clear sky
192,Hasaki,JP,35.7333,140.8333,36.0,81,100,31.65,overcast clouds
193,Oranjestad,AW,12.524,-70.027,80.55,74,20,19.57,few clouds
194,Narasannapeta,IN,18.4167,84.05,64.33,57,10,5.46,clear sky
195,Dunedin,NZ,-45.8742,170.5036,57.56,67,3,3.11,clear sky
196,Bang Krathum,TH,16.5783,100.3003,81.9,64,85,4.47,overcast clouds
197,Ivolginsk,RU,51.7492,107.2837,-29.54,68,87,2.24,overcast clouds
198,Tongliao,CN,43.6125,122.2653,1.42,94,100,10.29,overcast clouds
199,Byron Bay,AU,-28.65,153.6167,73.87,84,74,5.41,broken clouds
200,Ostrovnoy,RU,68.0531,39.5131,18.73,65,100,21.88,overcast clouds
201,Alyangula,AU,-13.8483,136.4192,82.92,68,24,11.83,few clouds
202,Faanui,PF,-16.4833,-151.75,80.76,74,100,14.63,light rain
203,Bada,RU,51.392,109.8717,-21.15,99,35,2.21,scattered clouds
204,Ilulissat,GL,69.2167,-51.1,15.82,79,40,25.32,scattered clouds
205,Mayskiy,RU,47.6931,40.1025,31.44,79,4,3.71,clear sky
206,Dhidhdhoo,MV,6.8833,73.1,78.46,80,100,4.5,overcast clouds
207,Hamilton,US,39.1834,-84.5333,29.41,70,100,9.22,overcast clouds
208,Tahe,CN,52.3333,124.7333,-3.41,99,100,2.84,overcast clouds
209,Alterosa,BR,-21.2492,-46.1431,71.04,82,77,1.61,broken clouds
210,Manubul,PH,5.4732,120.7986,81.72,76,99,9.86,overcast clouds
211,Xiongzhou,CN,25.1167,114.3,45.45,93,100,3.98,overcast clouds
212,Inuvik,CA,68.3499,-133.7218,-17.09,96,100,4.79,overcast clouds
213,Dongsheng,CN,39.8161,109.9776,7.86,62,79,1.54,broken clouds
214,Kaoma,ZM,-14.7833,24.8,63.7,94,23,4.21,few clouds
215,Mayo,US,38.8876,-76.5119,35.37,74,100,6.91,overcast clouds
216,Kodiak,US,57.79,-152.4072,36.91,70,0,6.91,clear sky
217,Berlevag,NO,70.8578,29.0864,22.95,86,75,23.02,light shower snow
218,Bandarbeyla,SO,9.4942,50.8122,74.41,67,31,14.99,scattered clouds
219,Pietarsaari,FI,63.65,22.6833,35.73,92,100,14.52,overcast clouds
220,Sao Filipe,CV,14.8961,-24.4956,74.35,64,55,11.45,broken clouds
221,Japura,ID,-0.3167,102.35,73.11,97,100,0.83,overcast clouds
222,Toamasina,MG,-18.1667,49.3833,77.47,85,41,2.39,light rain
223,Coquimbo,CL,-29.9533,-71.3436,69.53,64,0,12.66,clear sky
224,Sosua,DO,19.7667,-70.5167,84.18,67,1,15.35,clear sky
225,Narrabri,AU,-30.3167,149.7833,71.53,62,2,1.99,clear sky
226,Wanaka,NZ,-44.7,169.15,57.11,63,0,3.0,clear sky
227,Porto Novo,BJ,6.4965,2.6036,81.48,78,11,10.29,few clouds
228,Khotyn,UA,48.4833,26.5,35.17,67,0,9.73,clear sky
229,The Valley,AI,18.217,-63.0578,77.14,73,75,17.27,broken clouds
230,North Bend,US,43.4065,-124.2243,62.24,89,96,8.3,overcast clouds
231,Erzin,TR,36.9559,36.2,45.32,78,51,2.37,broken clouds
232,Aksu,CN,41.1231,80.2644,28.08,40,11,5.28,few clouds
233,Cherskiy,RU,68.75,161.3,-23.26,97,98,7.85,overcast clouds
234,Fortuna,US,40.5982,-124.1573,74.43,100,100,6.91,overcast clouds
235,Severo-Kurilsk,RU,50.6789,156.125,23.16,68,26,11.92,scattered clouds
236,Bokoro,TD,12.3807,17.0568,76.6,13,72,9.73,broken clouds
237,Qasigiannguit,GL,68.8193,-51.1922,16.05,88,100,14.56,overcast clouds
238,Sarangani,PH,5.4033,125.4636,81.32,74,100,18.52,overcast clouds
239,Bilibino,RU,68.0546,166.4372,-32.19,100,86,2.51,overcast clouds
240,Desur,IN,12.4333,79.4833,68.81,92,11,4.61,few clouds
241,Asyut,EG,27.181,31.1837,56.91,53,0,10.16,clear sky
242,Willowmore,ZA,-33.2926,23.4895,67.55,64,71,8.23,broken clouds
243,Kununurra,AU,-15.7667,128.7333,75.18,88,4,3.44,clear sky
244,Manacapuru,BR,-3.2997,-60.6206,81.18,90,100,3.6,light rain
245,Rosetta,EG,31.4044,30.4164,55.51,71,0,10.54,clear sky
246,Makhachkala,RU,42.9764,47.5024,35.58,58,10,0.56,clear sky
247,Hun,LY,29.1268,15.9477,54.12,41,0,8.9,clear sky
248,Urdoma,RU,61.7533,48.5442,0.79,100,97,3.13,overcast clouds
249,Teguldet,RU,57.3064,88.1667,-1.12,93,66,9.42,broken clouds
250,Honghu,CN,29.8206,113.4621,39.51,84,2,2.44,clear sky
251,Yulara,AU,-25.2406,130.9889,69.64,37,1,5.75,clear sky
252,Isangel,VU,-19.55,169.2667,83.25,76,83,9.73,broken clouds
253,Tessalit,ML,20.1986,1.0114,65.98,17,14,9.19,few clouds
254,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,74,40,13.8,scattered clouds
255,Inta,RU,66.0317,60.1659,3.6,85,97,5.68,overcast clouds
256,Praia,CV,14.9215,-23.5087,72.14,78,0,17.27,clear sky
257,Sri Aman,MY,1.2376,111.4621,72.61,99,97,2.01,overcast clouds
258,Gohpur,IN,26.8833,93.6333,54.66,72,0,2.39,clear sky
259,New Plymouth,NZ,-39.0667,174.0833,64.56,68,53,1.99,broken clouds
260,Te Anau,NZ,-45.4167,167.7167,57.87,62,38,0.38,scattered clouds
261,Kalmunai,LK,7.4167,81.8167,76.06,83,99,7.96,overcast clouds
262,Skagen,DK,57.7209,10.5839,40.08,76,100,17.47,overcast clouds
263,Klaksvik,FO,62.2266,-6.589,34.72,70,100,30.11,overcast clouds
264,San Quintin,MX,30.4833,-115.95,75.22,24,4,10.45,clear sky
265,Miles City,US,46.4083,-105.8406,53.51,32,0,18.41,clear sky
266,Moranbah,AU,-22.0016,148.0466,74.23,67,22,21.97,few clouds
267,Kasongo-Lunda,CD,-6.4667,16.8167,71.2,95,100,0.45,light rain
268,Samana,DO,19.2056,-69.3369,80.56,78,0,9.19,clear sky
269,Roald,NO,62.5833,6.1333,39.11,100,75,14.97,broken clouds
270,Srednekolymsk,RU,67.45,153.6833,-34.1,99,22,6.22,few clouds
271,Sobolevo,RU,54.4299,31.8996,22.75,85,66,12.64,broken clouds
272,Ouesso,CG,1.6136,16.0517,76.5,31,100,0.92,overcast clouds
273,Nouakchott,MR,18.0858,-15.9785,67.93,58,100,8.63,overcast clouds
274,Sinazongwe,ZM,-17.2614,27.4618,75.63,73,36,2.57,scattered clouds
275,Sioux Lookout,CA,50.1001,-91.917,1.69,77,100,5.99,overcast clouds
276,Mopti,ML,14.6667,-4.0,73.72,13,16,9.35,few clouds
277,Linxia,CN,35.6003,103.2064,12.11,80,56,3.56,broken clouds
278,Verkh-Usugli,RU,52.7,115.1667,-22.38,98,45,3.04,scattered clouds
279,Solhan,TR,38.9634,41.0293,23.63,61,100,7.63,overcast clouds
280,Kudahuvadhoo,MV,2.6708,72.8944,80.85,79,100,10.04,overcast clouds
281,Luanda,AO,-8.8368,13.2343,77.38,85,100,2.46,overcast clouds
282,Sola,VU,-13.8833,167.55,82.15,77,100,19.26,overcast clouds
283,Ayan,RU,56.45,138.1667,-9.56,83,5,6.67,clear sky
284,Hutchinson,US,38.0608,-97.9298,44.31,26,0,4.61,clear sky
285,Moindou,NC,-21.6924,165.677,89.55,74,100,2.62,overcast clouds
286,Lagarto,BR,-10.9172,-37.65,80.89,77,81,11.7,broken clouds
287,Proletarsk,RU,46.7031,41.7192,31.95,64,0,3.44,clear sky
288,Atikokan,CA,48.7555,-91.6216,2.12,79,100,5.84,overcast clouds
289,Arlit,NE,18.7369,7.3853,67.96,12,0,5.37,clear sky
290,Ulladulla,AU,-35.35,150.4667,67.08,62,100,7.58,overcast clouds
291,Itarema,BR,-2.9248,-39.9167,79.7,78,8,14.05,clear sky
292,Melton,AU,-37.6833,144.5833,80.98,52,62,3.62,broken clouds
293,Polunochnoye,RU,60.8697,60.4153,1.85,99,97,1.41,overcast clouds
294,Tilichiki,RU,60.4667,166.1,-18.33,93,7,9.55,clear sky
295,Mahebourg,MU,-20.4081,57.7,81.25,94,75,11.5,broken clouds
296,Higashine,JP,38.4389,140.4006,23.31,95,100,2.04,overcast clouds
297,Saldanha,ZA,-33.0117,17.9442,64.63,91,0,20.56,clear sky
298,Ozinki,RU,51.1786,49.6769,18.43,95,79,11.25,broken clouds
299,Riviere-Au-Renard,CA,48.9957,-64.3971,-2.27,94,45,9.28,scattered clouds
300,Pokosnoye,RU,55.5258,101.0536,-27.56,100,73,2.51,broken clouds
301,Ghanzi,BW,-21.5667,21.7833,70.84,60,9,3.02,clear sky
302,Farrukhnagar,IN,17.0778,78.2011,64.11,53,5,7.27,clear sky
303,Kavieng,PG,-2.5744,150.7967,82.08,76,97,6.2,overcast clouds
304,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.52,90,98,2.13,overcast clouds
305,South Lake Tahoe,US,38.9332,-119.9844,62.49,35,0,5.75,clear sky
306,Floro,NO,61.5996,5.0328,39.27,100,75,11.5,broken clouds
307,Rennes,FR,48.1667,-1.6667,50.04,93,100,17.27,light rain
308,Enniscorthy,IE,52.5008,-6.5578,44.17,90,82,11.18,broken clouds
309,Igarka,RU,67.4667,86.5833,-12.89,91,13,7.05,few clouds
310,Chaman,PK,30.9236,66.4512,47.39,54,100,3.69,overcast clouds
311,Vila Velha,BR,-20.3297,-40.2925,76.95,94,100,4.61,overcast clouds
312,Belton,US,38.812,-94.5319,34.84,34,0,6.91,clear sky
313,Narsaq,GL,60.9167,-46.05,25.02,89,100,5.44,overcast clouds
314,Inverell,AU,-29.7833,151.1167,69.12,66,0,1.99,clear sky
315,Bentiu,SS,9.2333,29.8333,79.18,14,4,6.04,clear sky
316,Lazaro Cardenas,MX,17.9583,-102.2,84.7,48,75,7.16,broken clouds
317,Honningsvag,NO,70.9821,25.9704,20.73,86,100,11.61,light snow
318,Balikpapan,ID,-1.2675,116.8289,76.19,94,40,3.44,scattered clouds
319,Alice Springs,AU,-23.7,133.8833,67.55,60,0,4.61,clear sky
320,Anadyr,RU,64.75,177.4833,-30.5,75,0,11.18,clear sky
321,Nanortalik,GL,60.1432,-45.2371,28.02,82,100,8.72,overcast clouds
322,Novikovo,RU,51.1537,37.8879,14.41,92,20,5.91,few clouds
323,Prince Rupert,CA,54.3161,-130.3201,50.09,66,100,11.5,light rain
324,Krasnoselkup,RU,65.7,82.4667,-1.43,93,71,13.42,broken clouds
325,Warwick,US,41.7001,-71.4162,31.39,92,100,17.27,snow
326,Nyurba,RU,63.2842,118.3319,-23.15,100,99,1.43,overcast clouds
327,Havoysund,NO,70.9963,24.6622,18.48,86,100,4.76,light snow
328,Petatlan,MX,17.5167,-101.2667,87.6,42,100,6.13,overcast clouds
329,Kavaratti,IN,10.5669,72.642,80.2,72,40,4.0,scattered clouds
330,Broome,US,42.2506,-75.833,22.01,64,40,12.66,scattered clouds
331,Longyearbyen,SJ,78.2186,15.6401,15.64,92,75,1.14,light snow
332,Lianzhou,CN,24.7811,112.3825,40.69,97,90,3.69,overcast clouds
333,Nancha,CN,47.1333,129.2667,-10.84,100,81,1.36,broken clouds
334,Fort Nelson,CA,58.8053,-122.7002,13.57,90,94,3.02,overcast clouds
335,Pandamatenga,BW,-18.5278,25.627,66.79,75,1,4.27,clear sky
336,Chipata,ZM,-13.6333,32.65,64.11,98,100,0.96,heavy intensity rain
337,Beaufort,MY,5.3473,115.7455,73.02,95,93,3.27,overcast clouds
338,Waterloo,CA,43.4668,-80.5164,15.73,84,100,4.0,overcast clouds
339,Ios,GR,36.7333,25.2833,53.06,55,90,15.01,overcast clouds
340,Egvekinot,RU,66.3167,-179.1667,-18.44,92,75,6.8,broken clouds
341,Westport,US,41.1415,-73.3579,30.79,72,100,12.66,overcast clouds
342,Kirovo-Chepetsk,RU,58.5539,50.0399,4.53,99,99,3.44,snow
343,Bac Lieu,VN,9.285,105.7244,79.05,80,16,14.41,few clouds
344,Mount Isa,AU,-20.7333,139.5,76.77,69,24,0.0,few clouds
