City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Hirara,JP,64.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
169,Port Macquarie,AU,68.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
171,Mount Gambier,AU,64.31,broken clouds,-37.8333,140.7667,The Commodore
183,Copiapo,CL,71.29,few clouds,-27.3667,-70.3333,Antay Casino Hotel
186,Constitucion,CL,65.46,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
188,Dingle,PH,73.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
194,Narasannapeta,IN,64.33,clear sky,18.4167,84.05,AVK events and catering
195,Dunedin,NZ,57.56,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
199,Byron Bay,AU,73.87,broken clouds,-28.65,153.6167,Backpackers Inn
209,Alterosa,BR,71.04,broken clouds,-21.2492,-46.1431,Hotel Central Alterosa
214,Kaoma,ZM,63.7,few clouds,-14.7833,24.8,KAOMA AIRPORT
218,Bandarbeyla,SO,74.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
220,Sao Filipe,CV,74.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
221,Japura,ID,73.11,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
223,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
225,Narrabri,AU,71.53,clear sky,-30.3167,149.7833,Crossroads Hotel
226,Wanaka,NZ,57.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
230,North Bend,US,62.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
234,Fortuna,US,74.43,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
241,Asyut,EG,56.91,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
242,Willowmore,ZA,67.55,broken clouds,-33.2926,23.4895,Jumper's Place
245,Rosetta,EG,55.51,clear sky,31.4044,30.4164,Green Valley
251,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
256,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
257,Sri Aman,MY,72.61,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
259,New Plymouth,NZ,64.56,broken clouds,-39.0667,174.0833,Belt Road Seaside Holiday Park
260,Te Anau,NZ,57.87,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
266,Moranbah,AU,74.23,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
273,Nouakchott,MR,67.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
289,Arlit,NE,67.96,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
290,Ulladulla,AU,67.08,overcast clouds,-35.35,150.4667,Sandpiper Motel
297,Saldanha,ZA,64.63,clear sky,-33.0117,17.9442,Blue Bay Lodge
301,Ghanzi,BW,70.84,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
302,Farrukhnagar,IN,64.11,clear sky,17.0778,78.2011,Musthafa Five Star Kiranam
304,Sao Felix Do Xingu,BR,72.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
305,South Lake Tahoe,US,62.49,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
314,Inverell,AU,69.12,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
319,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
335,Pandamatenga,BW,66.79,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
336,Chipata,ZM,64.11,heavy intensity rain,-13.6333,32.65,Protea Hotel by Marriott Chipata
337,Beaufort,MY,73.02,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
350,Whitianga,NZ,71.02,clear sky,-36.8333,175.7,Beachside Resort Whitianga
352,Colac,AU,67.01,clear sky,-38.3333,143.5833,Otway Gate Motel
353,Mocuba,MZ,72.3,light rain,-16.8392,36.9856,Phama Lodge
355,Bilma,NE,68.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
358,Portland,US,66.06,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
360,Altus,US,63.91,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
362,Tome,CL,61.41,broken clouds,-36.6167,-72.95,Hotel Saint Denis
365,Son La,VN,55.63,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
366,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
368,Araguacu,BR,71.87,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
370,Paramonga,PE,74.44,clear sky,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
373,Cururupu,BR,74.8,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
374,Bagula,IN,59.2,clear sky,23.3167,88.65,Rajesh
