City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Sao Filipe,CV,2022-02-13 04:45:47,14.8961,-24.4956,76.84,50,100,18.43
154,Doha,QA,2022-02-13 04:41:29,25.2867,51.5333,62.58,48,0,14.97
155,Saint-Philippe,RE,2022-02-13 04:45:47,-21.3585,55.7679,81.99,79,18,13.2
156,Nadym,RU,2022-02-13 04:45:48,65.5333,72.5167,-10.59,93,10,13.8
157,Atambua,ID,2022-02-13 04:45:48,-9.1061,124.8925,83.01,68,49,0.89
158,Cherskiy,RU,2022-02-13 04:45:49,68.75,161.3,-16.33,98,100,9.15
159,Provideniya,RU,2022-02-13 04:45:49,64.3833,-173.3,-8.93,90,5,4.81
160,Barcelos,PT,2022-02-13 04:45:50,41.5388,-8.6151,48.92,93,51,5.61
161,Ilawe,NG,2022-02-13 04:45:50,7.8667,4.4333,71.37,91,32,2.3
162,Pisco,PE,2022-02-13 04:44:48,-13.7,-76.2167,69.85,73,0,5.75
163,Coihueco,CL,2022-02-13 04:41:55,-36.6167,-71.8333,59.74,48,97,4.61
164,Esperance,AU,2022-02-13 04:45:51,-33.8667,121.9,75.04,53,7,14.34
165,Kasama,ZM,2022-02-13 04:45:52,-10.2129,31.1808,62.04,98,100,2.17
166,Janauba,BR,2022-02-13 04:45:52,-15.8025,-43.3089,70.11,82,100,4.68
167,Kavaratti,IN,2022-02-13 04:40:59,10.5669,72.642,81.34,67,5,6.31
168,Ler,SS,2022-02-13 04:45:53,8.3018,30.1418,75.04,27,26,5.97
169,Raga,SS,2022-02-13 04:45:53,8.4596,25.678,64.33,21,32,4.29
170,Zhigansk,RU,2022-02-13 04:45:31,66.7697,123.3711,-21.12,98,95,5.12
171,Kalangala,UG,2022-02-13 04:45:54,-0.3089,32.225,70.95,64,100,8.86
172,Sanghar,PK,2022-02-13 04:45:54,26.0466,68.9481,59.07,34,0,7.43
173,Longyearbyen,SJ,2022-02-13 04:41:30,78.2186,15.6401,13.84,73,20,4.61
174,Pilibanga,IN,2022-02-13 04:45:55,29.4916,74.079,69.66,21,0,6.64
175,Codrington,AU,2022-02-13 04:45:55,-38.2667,141.9667,77.49,38,100,11.43
176,Port Augusta,AU,2022-02-13 04:45:56,-32.5,137.7667,102.7,10,33,10.18
177,Quthing,LS,2022-02-13 04:45:56,-30.4,27.7003,70.29,51,5,1.57
178,Sisimiut,GL,2022-02-13 04:42:00,66.9395,-53.6735,7.72,95,100,5.57
179,Paamiut,GL,2022-02-13 04:45:57,61.994,-49.6678,18.07,88,100,12.1
180,Broome,US,2022-02-13 04:45:57,42.2506,-75.833,28.17,74,0,8.05
181,Davila,PH,2022-02-13 04:45:58,18.4726,120.5763,84.18,72,81,8.43
182,Chara,RU,2022-02-13 04:45:58,56.9064,118.2631,-15.59,88,51,1.39
183,Avera,US,2022-02-13 04:45:59,33.194,-82.5271,57.7,70,100,5.75
184,Kidal,ML,2022-02-13 04:45:59,18.4411,1.4078,62.49,15,20,2.66
185,Narsaq,GL,2022-02-13 04:46:00,60.9167,-46.05,28.62,97,100,2.86
186,Wagga Wagga,AU,2022-02-13 04:46:00,-35.1167,147.3667,87.85,32,40,11.5
187,Cockburn Town,TC,2022-02-13 04:43:06,21.4612,-71.1419,77.27,77,0,22.93
188,Preobrazheniye,RU,2022-02-13 04:46:01,42.9019,133.9064,26.64,32,0,5.5
189,Ahipara,NZ,2022-02-13 04:46:01,-35.1667,173.1667,69.12,62,46,16.78
190,Necochea,AR,2022-02-13 04:45:34,-38.5473,-58.7368,49.03,72,0,5.44
191,Kenai,US,2022-02-13 04:46:02,60.5544,-151.2583,28.49,93,0,3.44
192,Upernavik,GL,2022-02-13 04:46:03,72.7868,-56.1549,-3.37,84,100,26.6
193,Axim,GH,2022-02-13 04:46:03,4.8699,-2.2405,77.95,87,87,6.08
194,Vera Cruz,BR,2022-02-13 04:46:03,-12.6333,-41.0333,67.3,96,85,1.63
195,Chino Valley,US,2022-02-13 04:46:04,34.7575,-112.4538,52.11,24,0,6.91
196,Pemangkat,ID,2022-02-13 04:44:28,1.1667,108.9667,83.68,72,55,5.79
197,Sao Felix Do Xingu,BR,2022-02-13 04:46:05,-6.6447,-51.995,70.07,98,100,0.51
